"","Wilayah","PPM","RK","TPT","AHH","Bentuk"
"1","Kabupaten Pacitan",14.54,49.26,2.28,71.94,"Kabupaten"
"2","Kabupaten Ponorogo",9.95,46.56,4.45,72.77,"Kabupaten"
"3","Kabupaten Trenggalek",11.62,45.48,4.11,73.75,"Kabupaten"
"4","Kabupaten Tulungagung",7.33,47.89,4.61,74.08,"Kabupaten"
"5","Kabupaten Blitar",9.33,49.22,3.82,73.52,"Kabupaten"
"6","Kabupaten Kediri",11.4,47.03,5.24,72.61,"Kabupaten"
"7","Kabupaten Malang",10.15,45.74,5.49,72.55,"Kabupaten"
"8","Kabupaten Lumajang",9.83,43.36,3.36,70.1,"Kabupaten"
"9","Kabupaten Jember",10.09,45.39,5.12,69.15,"Kabupaten"
"10","Kabupaten Banyuwangi",8.06,46.29,5.34,70.65,"Kabupaten"
"11","Kabupaten Bondowoso",14.17,43.77,4.13,66.74,"Kabupaten"
"12","Kabupaten Situbondo",12.22,39.54,3.85,69.13,"Kabupaten"
"13","Kabupaten Probolinggo",18.61,43.86,4.86,67.2,"Kabupaten"
"14","Kabupaten Pasuruan",9.26,40.69,6.24,70.23,"Kabupaten"
"15","Kabupaten Sidoarjo",5.59,39.61,10.97,74.04,"Kabupaten"
"16","Kabupaten Mojokerto",10.57,42.25,5.75,72.53,"Kabupaten"
"17","Kabupaten Jombang",9.94,46.05,7.48,72.4,"Kabupaten"
"18","Kabupaten Nganjuk",11.62,46.59,4.8,71.54,"Kabupaten"
"19","Kabupaten Madiun",11.46,46.55,4.8,71.38,"Kabupaten"
"20","Kabupaten Magetan",10.35,48.2,3.74,72.59,"Kabupaten"
"21","Kabupaten Ngawi",15.44,44.95,5.44,72.3,"Kabupaten"
"22","Kabupaten Bojonegoro",12.87,43.26,4.92,71.56,"Kabupaten"
"23","Kabupaten Tuban",15.91,41.91,4.81,71.43,"Kabupaten"
"24","Kabupaten Lamongan",13.85,43.48,5.13,72.4,"Kabupaten"
"25","Kabupaten Gresik",12.4,42.22,8.21,72.66,"Kabupaten"
"26","Kabupaten Bangkalan",20.56,52.21,8.77,70.18,"Kabupaten"
"27","Kabupaten Sampang",22.78,49.9,3.35,68.03,"Kabupaten"
"28","Kabupaten Pamekasan",14.6,43.94,3.49,67.58,"Kabupaten"
"29","Kabupaten Sumenep",20.18,39.67,2.84,71.41,"Kabupaten"
"30","Kota Kediri",7.69,39.65,6.21,74.02,"Kota"
"31","Kota Blitar",7.78,44.63,6.68,73.75,"Kota"
"32","Kota Malang",4.44,36.64,9.61,73.27,"Kota"
"33","Kota Probolinggo",7.43,43.32,6.7,70.29,"Kota"
"34","Kota Pasuruan",6.66,43.11,6.33,71.52,"Kota"
"35","Kota Mojokerto",6.24,41.38,6.74,73.32,"Kota"
"36","Kota Madiun",4.98,41.96,8.32,72.81,"Kota"
"37","Kota Surabaya",5.02,35.91,9.79,74.18,"Kota"
"38","Kota Batu",3.89,43.58,5.93,72.61,"Kota"
